Артикул;https://www.autoscaners.ru/;https://www.rustehnika.ru/;https://mactak-m.ru/;http://pf-tool.ru/;http://www.freemen.su/;https://sl33.ru/
GX-100;6700;6700;6700;0;7178;6999
AC-1014;17800;17800;17800;0;17800;0
AC-2014;27900;27900;27900;0;27900;0
ODA-MS13;7024;0;7023;0;0;0
ODA-M13;5989;0;5988;0;0;0
ODA-LQ60;25876;0;25875;0;0;0
ODA-LQ20;11238;0;11237;0;0;0
ODA-LQ13;9685;0;9684;0;0;0
ODA-L023;14900;0;0;0;0;0
ODA-G0108U1;66000;66000;0;0;0;66000
ODA-G0108U;49000;49000;0;0;0;66000
ODA-F1157;42000;42000;0;0;0;0
ODA-E1339;104000;104000;0;0;0;0
ODA-D1339;79000;79000;0;0;0;0
ODA-C1339;175000;175000;0;175000;0;0
ODA-B1187;59000;69000;0;0;0;59000
ODA-B1157;32000;32000;0;29990;0;32000
ODA-A1187-A;33900;39900;0;0;0;33900
ODA-9003;1257;1258;0;0;0;0
ODA-9001;3000;3000;0;0;0;0
ODA-4010;35900;35900;0;35900;0;35900
ODA-5010;15900;15900;0;15900;0;15900
ODA-350;98900;98900;98900;0;98900;98900
ODA-3285A;42946;42744;0;0;0;0
ODA-3204B;28900;28900;28900;0;0;0
ODA-3205;56000;56000;0;0;0;0
CT-3003;335;332;0;335;0;0
CT-3354;335;333;0;300;0;0
CT-M1010;1950;1950;0;0;0;0
CT-N0113;444;444;0;0;0;0
CT-M1006;2034;2032;0;0;0;0
CT-M1001;8532;8475;0;0;0;13382
CT-M1008;3061;0;0;0;0;0
CT-A2039;1153;1152;0;1025;0;0
CT-1669;606;603;0;515;0;0
CT-N7110;12066;11985;0;12410;0;0
CT-D026;2912;2864;0;2650;0;0
CT-3796;487;485;0;0;0;0
CT-1385;1743;1735;0;1730;0;0
CT-A1094;1109;1101;0;965;0;0
CT-1538-1;525;522;0;430;0;0
CT-E004;1600;1594;0;0;0;0
CT-A2217;1368;1367;0;1200;0;0
CT-A1245;768;765;0;670;0;0
CT-H004;4093;4090;0;0;0;0
CT-1538-4;104;104;0;90;0;0
CT-H021;2440;2429;0;0;0;0
CT-N1550;1405;1404;0;1200;0;0
CT-E008;1408;1385;0;1500;0;0
CT-1464;990;990;0;750;0;0
CT-M1014;3172;3157;0;0;0;2790
CT-1174;1775;1773;0;0;0;0
CT-U0208;2278;2262;0;2000;0;0
CT-E3034;4547;4544;0;4000;0;0
CT-A1262;3635;3632;0;3140;0;0
CT-1351;3367;3376;0;0;0;0
CT-U0106;1197;1198;0;1185;0;0
CT-Z015;3069;3066;0;0;0;0
CT-A3036;21174;21032;0;21000;0;19900
CT-K7002;1834;1833;0;1600;0;0
N00890;1812;1782;0;0;0;0
CT-U0206;3298;3295;0;2900;0;0
CT-2106;1185;1025;0;0;0;0
CT-B1050-1;2541;2524;0;0;0;0
CT-A1359;1124;1119;0;1320;0;0
CT-C1293;9345;9301;0;8675;0;0
CT-N0239;2218;0;0;0;0;0
CT-E1129;18764;18749;0;16500;0;0
CT-5067;621;621;0;0;0;0
CT-4282;1549;1340;0;0;0;0
CT-8523;590;590;0;500;0;0
CT-A2228;1923;1914;0;2150;0;0
CT-A1227;2307;2305;0;0;0;0
CT-Z003U;1368;1362;0;1200;0;0
CT-3972;4325;4336;0;3800;0;0
CT-A0104;2071;2037;0;0;0;0
CT-H002A;3253;3251;0;0;0;0
CT-1004;4439;4436;0;0;0;0
CT-3053;2677;2633;0;2350;0;0
CT-A2217U;969;962;0;0;0;0
CT-S014;822;808;0;0;0;0
IC-120;4900;4900;0;0;0;4900
IC-200;2218;0;0;0;0;0
IC-190;28656;28633;0;0;0;0
IC-801;1257;1256;0;0;0;0
IC-140;5990;5990;0;0;0;0
IC-145;2900;2900;2900;0;0;2900
IC-805;990;990;0;0;0;0
IC-160A;2100;2100;0;0;0;0
IC-160;1700;1700;0;0;0;0
IC-330;2900;2900;2900;0;0;2900
IC-130;2450;2450;0;0;0;3400
IC-100;4900;4900;0;0;5994;5400
IC-400;9900;9900;9900;9300;11100;11090
IC-802;250;0;0;0;0;0
IC-803;1990;1990;0;0;0;1990
IC-150;1900;1900;1900;0;0;0
IC-500;17900;17900;17900;17900;20868;20849
IC-700;26900;26900;26900;26040;31080;31051
IC-170;1900;1900;0;0;0;1900
IC-110;3950;3950;0;0;0;0
IC-90;2537;2537;0;0;0;0
